"","R","G","B","H","S","V","Pixel","Berat","Class"
"412",133.94896000158,43.4787333339918,21.988657778129,114,233.005671110936,131.946124446113,21743.4640269619,36.9829866671935,"Matang"
"103",110,40,17,113,232,106,23595,43,"Matang"
"266",107,32,16,114,237,103,21636,51,"Matang"
"510",115.248563778587,35.6242818892933,17.43642283394,114,235.187859055353,112.248563778587,18025.3655735592,31,"Matang"
"108",177,65,32,113,221,177,26961,31,"Matang"
"122",103,32,17,115,232,99,24948,49,"Matang"
"312",122.636970373802,42.6369703738019,20.7654043224175,113.446919135517,236.106161728967,116.318485186901,22562.9951225279,44.2739407476038,"Matang"
"99",122,38,21,115,234,117,22410,43,"Matang"
"192",116,37,17,114,242,111,21627,55,"Matang"
"372",134.784943276783,44.4159740693867,22.81198055204,114,230.14101458597,134.38893679413,22823.5761304647,42.7179708280601,"Matang"
"173",140.128779418999,48.9641657418106,25.909294516081,113.618141096784,231.799552064622,136.183650644729,25321.4210518186,53.4725643871352,"Matang"
"97",112,37,20,115,235,109,22617,43,"Matang"
"259",163,57,29,113,225,164,24537,51,"Matang"
"263",105,32,16,115,238,100,19845,51,"Matang"
"127",170,58,30,114,225,169,34074,49,"Matang"
"2511",112.032760924427,34.5573676088825,17.2786838044412,114.360658097779,236.081974293338,108.311444728868,18914.757532269,38.2131619555876,"Matang"
"2211",112.379085914465,36.6209140855353,19.4945521140471,114.873638028512,235.126361971488,109.379085914465,22166.2668477015,41.4836563421413,"Matang"
"117",115,34,16,114,236,112,19050,31,"Matang"
"206",119,41,24,115,235,115,24651,55,"Matang"
"422",180.484615091234,66.7423075456172,33.8594404794276,113.007808862254,220.124941796064,181.453379642218,29875.7975039463,50.8438227549195,"Matang"
"282",171,60,30,113,229,170,33951,55,"Matang"
"611",126,44,24,114,236,119,25806,55,"Matang"
"133",176,61,28,113,229,176,30012,49,"Matang"
"104",150,56,24,112,233,148,25818,43,"Matang"
"95",138,48,21,113,233,135,22794,43,"Matang"
"232",112,35,18,115,241,109,22083,55,"Matang"
"260",181,67,34,113,220,182,29961,51,"Matang"
"1210",157.039814373944,56.0603172443807,25.1109787370078,112.161640229635,233.242460344452,158.635713799857,29665.8875690396,53.0603172443807,"Matang"
"352",161.493680088781,54.7974720355123,27.4240520133171,113.525315995561,229.101263982244,160.493680088781,27512.6795384127,43,"Matang"
"124",149,51,23,113,233,148,24720,49,"Matang"
"261",127,41,20,114,232,120,20991,51,"Matang"
"268",114,36,15,114,238,109,20286,51,"Matang"
"342",115.675246561179,35.6752465611789,18,114.324753438821,235,112.350493122358,18332.5186413287,31,"Matang"
"120",114,37,16,113,240,110,14814,31,"Matang"
"382",120.826799969422,42.0243636085652,21.4194908868521,114,233.59269091743,114.617054525996,21863.0381266989,40.6292363302782,"Matang"
"256",105,32,14,114,236,102,21843,51,"Matang"
"100",152,51,26,114,231,151,25116,43,"Matang"
"1111",143,47,24,114,229,140,20676,31,"Matang"
"135",131,48,28,114,226,124,24375,49,"Matang"
"1611",117.18890654319,37.9815109053161,20.3778130863793,114.396302181063,235,113.792604362126,20871.2479556368,40.5112523455173,"Matang"
"2010",114.180528268218,36.909735865891,16.180528268218,113.090264134109,239.548679329455,110.270792402327,15136.7845435739,31,"Matang"
"5011",118.138882867061,36.6904710289091,18.2420591907576,114,237.345235514455,113.793647352606,21340.9360811161,41.7618841156363,"Matang"
"5511",110.110198772047,34.9201135840267,16.4334279866889,114,236,106.136827577371,22807.3675111248,51.9733711946756,"Matang"
"2510",131,43,21,114,237,125,25638,55,"Matang"
"187",122,43,20,114,237,115,25662,55,"Matang"
"2111",151.326289322693,51,26.6737106773071,114,229.652578645386,148.978867968079,23018.0649508657,43,"Matang"
"257",124,41,18,114,232,119,24846,51,"Matang"
"402",114.793652461842,36,16.1904786927626,114,236.809521307237,110.587304923683,19533.6174661741,43.063475381583,"Matang"
"1101",165,59,26,112,228,165,24906,31,"Matang"
"270",143,51,25,113,225,142,25125,51,"Matang"
"228",125,44,19,113,236,122,26775,55,"Matang"
"116",105,31,14,115,238,103,19167,31,"Matang"
"230",114.893421311863,35.4467106559314,17.1700659838971,114,235.276644672034,111.893421311863,17853.0326915814,31,"Matang"
"258",114,43,22,113,224,106,26742,51,"Matang"
"4911",113.890652307775,36.2687827693298,15.7562609231099,114,237.51252184622,110.134391384665,19989.4355115392,40.0751310773194,"Matang"
"362",159.833984482568,55.3870313102379,27.8801562758163,113.686640620697,227.866406206973,159.14734386187,25694.1480548135,39.2396874483675,"Matang"
"176",117,40,17,114,240,112,25812,55,"Matang"
"452",110.454276697012,33.3817106788047,15.3091446605977,114,236.309144660598,107.145132036414,18052.5333545201,37.1828932119533,"Matang"
"392",122.974434355274,41.9744343552738,18.3923303065822,113.202556564473,236,119.974434355274,25210.250539449,50.1386424526572,"Matang"
"136",142.696421450237,46.2590717894491,21.4484763508663,113.545960304094,232.821722128661,141.058540537953,24027.1831465163,39.1727145262994,"Matang"
"313",115,34,16,114,236,112,19050,31,"Matang"
"102",151,51,27,114,229,148,22002,43,"Matang"
"521",122.310438396176,41.7862630377058,21.0483507169411,114,234.524175358471,117.524175358471,23886.6900536909,46.1450521508232,"Matang"
"1511",115.29115540185,35.3551816360559,15.9679868828971,114,235.612805246841,111.710363272112,17611.1650516063,34.4847527784295,"Matang"
"5311",144.956190858968,47.6189716123044,24.5912381717935,114.281752365641,231.563504731283,142.829181396402,23657.9315078063,44.6905141938478,"Matang"
"114",115,35,18,115,235,111,18213,31,"Matang"
"1110",115.994500972331,43.1662084143609,22.3324168287218,113.166208414361,225.994500972331,108.160709386691,26586.4289241582,51.6648336574435,"Matang"
"2351",125.755256963894,40.5466781519353,18.3380993399769,113.532380132005,234.597140396014,122.755256963894,20800.7687857747,36.6114384159446,"Matang"
"115",107,31,15,115,238,105,16935,31,"Matang"
"73",131.1992710419,43.8352717040107,21.2069085491821,113.421454605646,229.636000662111,129.356361830607,22564.6632706979,42.5709078870714,"Matang"
"291",109.737719346769,32.5207430683076,16.3471620455384,114.956604744308,236,107.520743068308,21595.9825203018,43.5207430683076,"Matang"
"134",131,43,20,114,233,126,22698,49,"Matang"
"910",118.714961109217,37.3574805546086,18.1234073231462,113.876592676854,235.123407323146,115.591553786071,18636.5678316462,31,"Matang"
